"Reference code","Product ID","Product name","Product Combinations ID","Associated categories Ids","Quantity","Pre-tax retail price","Combinations Impact on price (pre-tax)"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1408","2;56;282","3","89.00","0.00"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1409","2;56;282","1","89.00","0.00"
"A17063-WSS0901NC02A","821","K Smith T-Shirt ""Depth""","2313","2;56;282","1","89.00","0.00"
"A17063-WSS0901NC02A","821","K Smith T-Shirt ""Depth""","2314","2;56;282","1","89.00","0.00"
"A17063-WSS0901NC02A","821","K Smith T-Shirt ""Depth""","2315","2;56;282","1","89.00","0.00"
"A17063-WSS0901NC02A","821","K Smith T-Shirt ""Depth""","2316","2;56;282","1","89.00","0.00"
"A17063-WSS0901NC02A","821","K Smith T-Shirt ""Depth""","2317","2;56;282","0","89.00","0.00"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1420","2;56;281","1","129.00","0.00"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1421","2;56;281","1","129.00","0.00"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1422","2;56;281","1","129.00","0.00"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1423","2;56;281","1","129.00","0.00"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1424","2;56;281","1","129.00","0.00"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1415","2;56;281","1","129.00","0.00"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1416","2;56;281","1","129.00","0.00"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1417","2;56;281","1","129.00","0.00"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1418","2;56;281","1","129.00","0.00"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1419","2;56;281","2","129.00","0.00"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1395","2;56;258","1","169.00","0.00"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1396","2;56;258","1","169.00","0.00"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1397","2;56;258","2","169.00","0.00"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1398","2;56;258","1","169.00","0.00"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1399","2;56;258","1","169.00","0.00"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1390","2;56;258","1","169.00","0.00"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1391","2;56;258","2","169.00","0.00"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1392","2;56;258","1","169.00","0.00"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1393","2;56;258","1","169.00","0.00"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1394","2;56;258","1","169.00","0.00"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1385","2;56;258","1","169.00","0.00"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1386","2;56;258","1","169.00","0.00"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1387","2;56;258","2","169.00","0.00"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1388","2;56;258","0","169.00","0.00"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1389","2;56;258","1","169.00","0.00"
"A16051-WDR2601NC05A","828","Kate Dress ""Northern Keepers""","1380","2;56;258","1","169.00","0.00"
"A16051-WDR2601NC05A","828","Kate Dress ""Northern Keepers""","1381","2;56;258","0","169.00","0.00"
"A16051-WDR2601NC05A","828","Kate Dress ""Northern Keepers""","1382","2;56;258","1","169.00","0.00"
"A16051-WDR2601NC05A","828","Kate Dress ""Northern Keepers""","1383","2;56;258","0","169.00","0.00"
"A16051-WDR2601NC05A","828","Kate Dress ""Northern Keepers""","1384","2;56;258","1","169.00","0.00"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3042","2;56;258","1","169.00","0.00"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3043","2;56;258","1","169.00","0.00"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3044","2;56;258","0","169.00","0.00"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3045","2;56;258","0","169.00","0.00"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3046","2;56;258","1","169.00","0.00"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1365","2;56;258","2","169.00","0.00"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1366","2;56;258","1","169.00","0.00"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1367","2;56;258","0","169.00","0.00"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1368","2;56;258","0","169.00","0.00"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1369","2;56;258","2","169.00","0.00"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1360","2;56;258","0","169.00","0.00"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1361","2;56;258","1","169.00","0.00"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1362","2;56;258","0","169.00","0.00"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1363","2;56;258","0","169.00","0.00"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1364","2;56;258","1","169.00","0.00"
"A17063-WAC0201NC02A","845","Vivienne Scarf ""Depth""","","56;257","3","59.00","0.00"
"A17064-WAC0201NC03A","846","Vivienne Scarf ""M'Otter Love""","","2;56;257","5","59.00","0.00"
"A16058-WAC0201NC04A","847","Vivienne Scarf ""Silent Seekers""","","2;56;257","3","59.00","0.00"
"A16051-WAC0201NC05A","848","Vivienne Scarf ""Northern Keepers""","","2;56;257","4","59.00","0.00"
"A09006-WAC0201NC06A","849","Vivienne Scarf ""The River Keeper""","","2;56;257","6","59.00","0.00"
"W12001-WAC0201NC07B","850","Vivienne Scarf ""Dialogue""","","2;56;257","3","59.00","0.00"
"A01028-WAC0201NC08A","851","Vivienne Scarf ""Giving Thanks""","","2;56;257","5","59.00","0.00"
"W13023-WAC0201NC09A","852","Vivienne Scarf ""Water and Spirit Buffalo""","","2;56;257","3","59.00","0.00"
"A07020-WAC0201NC0AA","853","Vivienne Scarf ""Journey to the Spirit World""","","2;56;257","14","59.00","0.00"
"A16052-WAC0201NC0BA","854","Vivienne Scarf ""Zenith""","","2;56;257","4","59.00","0.00"
"A17065-WAC0201NC0CA","855","Vivienne Scarf ""Forest Temple""","","2;56;257","6","59.00","0.00"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3177","2;56;261","1","139.00","0.00"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3178","2;56;261","0","139.00","0.00"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3179","2;56;261","1","139.00","0.00"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3180","2;56;261","1","139.00","0.00"
"A17063-WSS0701NC02A","856","Yoko Cape Tunic ""Depth""","3181","2;56;261","1","139.00","0.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","1465","56;261","1","139.00","0.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2070","56;261","0","139.00","0.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2071","56;261","1","139.00","0.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2072","56;261","1","139.00","0.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2073","56;261","2","139.00","0.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1460","2;56;261","2","139.00","0.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1461","2;56;261","1","139.00","0.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1462","2;56;261","1","139.00","0.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1463","2;56;261","1","139.00","0.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1464","2;56;261","3","139.00","0.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3187","2;56;261","1","139.00","0.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3188","2;56;261","1","139.00","0.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3189","2;56;261","1","139.00","0.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3190","2;56;261","1","139.00","0.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3191","2;56;261","0","139.00","0.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1440","2;56;261","0","139.00","0.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1441","2;56;261","1","139.00","0.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1442","2;56;261","1","139.00","0.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1443","2;56;261","0","139.00","0.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1444","2;56;261","1","139.00","0.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3312","2;56;282","1","89.00","0.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3313","2;56;282","1","89.00","0.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3314","2;56;282","1","89.00","0.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3315","2;56;282","1","89.00","0.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3316","2;56;282","1","89.00","0.00"
"W12018-WSS0701NC0DB","895","Yoko Cape Tunic ""Early Evening Flowing into Fall""","3197","2;56;261","1","139.00","0.00"
"W12018-WSS0701NC0DB","895","Yoko Cape Tunic ""Early Evening Flowing into Fall""","3198","2;56;261","0","139.00","0.00"
"W12018-WSS0701NC0DB","895","Yoko Cape Tunic ""Early Evening Flowing into Fall""","3199","2;56;261","0","139.00","0.00"
"W12018-WSS0701NC0DB","895","Yoko Cape Tunic ""Early Evening Flowing into Fall""","3200","2;56;261","0","139.00","0.00"
"W12018-WSS0701NC0DB","895","Yoko Cape Tunic ""Early Evening Flowing into Fall""","3201","2;56;261","1","139.00","0.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3037","2;56;258","1","169.00","0.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3038","2;56;258","1","169.00","0.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3039","2;56;258","0","169.00","0.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3040","2;56;258","0","169.00","0.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3041","2;56;258","0","169.00","0.00"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3107","2;56;258","1","149.00","0.00"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3108","2;56;258","0","149.00","0.00"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3109","2;56;258","1","149.00","0.00"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3110","2;56;258","1","149.00","0.00"
"A17065-WDR1001NC0CB","912","Jeanne Dress ""Forest Temple""","3111","2;56;258","1","149.00","0.00"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2927","2;56;259","1","129.00","0.00"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2928","2;56;259","1","129.00","0.00"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2929","2;56;259","1","129.00","0.00"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2930","2;56;259","1","129.00","0.00"
"A16059-WBL0301NC0IA","916","Frida Cardigan ""Wisdom Keepers""","2931","2;56;259","1","129.00","0.00"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2942","2;56;259","1","129.00","0.00"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2943","2;56;259","2","129.00","0.00"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2944","2;56;259","0","129.00","0.00"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2945","2;56;259","1","129.00","0.00"
"A08011-WBL0301NC0HB","917","Frida Cardigan ""Whisper""","2946","2;56;259","1","129.00","0.00"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2937","2;56;259","1","129.00","0.00"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2938","2;56;259","1","129.00","0.00"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2939","2;56;259","1","129.00","0.00"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2940","2;56;259","1","129.00","0.00"
"A17065-WBL0301NC0CB","918","Frida Cardigan ""The Forest Temple""","2941","2;56;259","0","129.00","0.00"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2922","2;56;259","0","129.00","0.00"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2923","2;56;259","1","129.00","0.00"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2924","2;56;259","2","129.00","0.00"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2925","2;56;259","1","129.00","0.00"
"A07020-WBL0301NC0AA","920","Frida Cardigan ""Journey to the Spirit World""","2926","2;56;259","1","129.00","0.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3277","2;56;281","1","129.00","0.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3278","2;56;281","2","129.00","0.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3279","2;56;281","0","129.00","0.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3280","2;56;281","0","129.00","0.00"
"A08013-WNS0801NC0FC","944","Kaplan Tank ""New Day""","3281","2;56;281","0","129.00","0.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2947","2;56;259","1","129.00","0.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2948","2;56;259","0","129.00","0.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2949","2;56;259","1","129.00","0.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2950","2;56;259","1","129.00","0.00"
"A10004-WBL0301NC01C","954","Frida Cardigan ""Merging Earth and Sky""","2951","2;56;259","0","129.00","0.00"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2952","2;56;259","1","129.00","0.00"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2953","2;56;259","1","129.00","0.00"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2954","2;56;259","1","129.00","0.00"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2955","2;56;259","1","129.00","0.00"
"A17064-WBL0301NC03A","955","Frida Cardigan ""M'Otter Love""","2956","2;56;259","1","129.00","0.00"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2957","2;56;259","2","129.00","0.00"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2958","2;56;259","1","129.00","0.00"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2959","2;56;259","1","129.00","0.00"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2960","2;56;259","2","129.00","0.00"
"A16058-WBL0301NC04A","956","Frida Cardigan ""Silent Seekers""","2961","2;56;259","1","129.00","0.00"
"A10004-WAC0201NC01A","961","Vivienne Scarf ""Merging Earth and Sky""","","2;56;257","3","59.00","0.00"
"W12018-WAC0201NC0DB","962","Vivienne Scarf ""Early Evening Flowing into Fall""","","2;56;257","2","59.00","0.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3297","2;56;281","1","79.00","0.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3298","2;56;281","0","79.00","0.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3299","2;56;281","1","79.00","0.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3300","2;56;281","1","79.00","0.00"
"A17063-WNS0701NC02A","964","Coco Tank ""Depth""","3301","2;56;281","1","79.00","0.00"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3302","2;56;281","0","79.00","0.00"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3303","2;56;281","2","79.00","0.00"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3304","2;56;281","1","79.00","0.00"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3305","2;56;281","1","79.00","0.00"
"A08013-WNS0701NC0FA","965","Coco Tank ""New Day""","3306","2;56;281","1","79.00","0.00"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3307","2;56;281","1","79.00","0.00"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3308","2;56;281","1","79.00","0.00"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3309","2;56;281","1","79.00","0.00"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3310","2;56;281","1","79.00","0.00"
"A17064-WNS0701NC03A","966","Coco Tank ""M'Otter Love""","3311","2;56;281","1","79.00","0.00"
"A17064-WBL0601NCO3A","977","Kimono ""M'Otter Love""","2368","56;283;401","5","129.00","0.00"
"W12018-WBL0601NCODA","978","Kimono ""Early Evening Flowing into Fall""","2369","56;283;401","2","129.00","0.00"
"A17065-WBL0601NCOCA","979","Kimono ""Forest Temple""","2370","56;283;401","2","129.00","0.00"
"A17063-WBL0601NCO2A","980","Kimono ""Depth""","2371","56;283;401","5","129.00","0.00"
"A08011-WDR3201NC0HA","981","Michelle Dress ""Whisper""","3157","2;56;258","0","149.00","0.00"
"A08011-WDR3201NC0HA","981","Michelle Dress ""Whisper""","3158","2;56;258","0","149.00","0.00"
"A08011-WDR3201NC0HA","981","Michelle Dress ""Whisper""","3159","2;56;258","0","149.00","0.00"
"A08011-WDR3201NC0HA","981","Michelle Dress ""Whisper""","3160","2;56;258","0","149.00","0.00"
"A08011-WDR3201NC0HA","981","Michelle Dress ""Whisper""","3161","2;56;258","2","149.00","0.00"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2962","2;56;259","1","129.00","0.00"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2963","2;56;259","1","129.00","0.00"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2964","2;56;259","0","129.00","0.00"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2965","2;56;259","0","129.00","0.00"
"A08013-WBL0301NC0FB","986","Frida Cardigan ""New Day""","2966","2;56;259","0","129.00","0.00"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2967","2;56;259","1","129.00","0.00"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2968","2;56;259","1","129.00","0.00"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2969","2;56;259","1","129.00","0.00"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2970","2;56;259","0","129.00","0.00"
"A17063-WBL0301NC02A","987","Frida Cardigan ""Depth""","2971","2;56;259","1","129.00","0.00"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2972","2;56;259","1","129.00","0.00"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2973","2;56;259","0","129.00","0.00"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2974","2;56;259","1","129.00","0.00"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2975","2;56;259","1","129.00","0.00"
"W12018-WBL0301NC0DA","988","Frida Cardigan ""Early Evening Flowing into Fall""","2976","2;56;259","1","129.00","0.00"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3017","2;56;273","1","109.00","0.00"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3018","2;56;273","0","109.00","0.00"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3019","2;56;273","0","109.00","0.00"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3020","2;56;273","1","109.00","0.00"
"A08013-WPA0401NC0FB","990","Jackie Legging ""New Day""","3021","2;56;273","0","109.00","0.00"
"A13041-WAC0201NC0EA","994","Vivienne Scarf ""Lapinx""","","2;56;257","5","59.00","0.00"
"W18053-WAC0201NC0JB","995","Vivienne Scarf ""Masters of the North""","","2;56;257","4","59.00","0.00"
"A08013-WAC0201NC0FC","997","Vivienne Scarf ""New Day""","","2;56;257","3","59.00","0.00"
"A08011-WAC0201NC0HB","998","Vivienne Scarf ""Whisper""","","2;56;257","3","59.00","0.00"
"A16059-WAC0201NC0IA","999","Vivienne Scarf ""Wisdom Keepers""","","2;56;257","5","59.00","0.00"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3067","2;56;258","0","169.00","0.00"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3068","2;56;258","1","169.00","0.00"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3069","2;56;258","1","169.00","0.00"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3070","2;56;258","3","169.00","0.00"
"A16059-WDR2601NC01B","1006","Kate Dress ""Wisdom Keepers""","3071","2;56;258","3","169.00","0.00"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2977","2;56;259","2","129.00","0.00"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2978","2;56;259","1","129.00","0.00"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2979","2;56;259","2","129.00","0.00"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2980","2;56;259","2","129.00","0.00"
"A01028-WBL0301NC08A","1010","Frida Cardigan ""Giving Thanks""","2981","2;56;259","1","129.00","0.00"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2982","2;56;259","1","129.00","0.00"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2983","2;56;259","1","129.00","0.00"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2984","2;56;259","1","129.00","0.00"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2985","2;56;259","1","129.00","0.00"
"A16051-WBL0301NC05A","1012","Frida Cardigan ""Northern Keepers""","2986","2;56;259","1","129.00","0.00"
"W18053-WDR2601NC0JB","1014","Kate Dress ""Northern Masters""","3077","2;56;258","1","169.00","0.00"
"W18053-WDR2601NC0JB","1014","Kate Dress ""Northern Masters""","3078","2;56;258","1","169.00","0.00"
"W18053-WDR2601NC0JB","1014","Kate Dress ""Northern Masters""","3079","2;56;258","0","169.00","0.00"
"W18053-WDR2601NC0JB","1014","Kate Dress ""Northern Masters""","3080","2;56;258","0","169.00","0.00"
"W18053-WDR2601NC0JB","1014","Kate Dress ""Northern Masters""","3081","2;56;258","0","169.00","0.00"
"A17063-WSK040NCO2A","1016","Alex Skirt ""Depth""","3002","56;274","0","139.00","0.00"
"A17063-WSK040NCO2A","1016","Alex Skirt ""Depth""","3003","56;274","0","139.00","0.00"
"A17063-WSK040NCO2A","1016","Alex Skirt ""Depth""","3004","56;274","0","139.00","0.00"
"A17063-WSK040NCO2A","1016","Alex Skirt ""Depth""","3005","56;274","1","139.00","0.00"
"A17063-WSK040NCO2A","1016","Alex Skirt ""Depth""","3006","56;274","1","139.00","0.00"
"A16058-WBL0601NCO4A","1059","Kimono ""Silent Seekers""","2867","56;283;401","8","129.00","0.00"
